"Johannesburg","Johannesburg","-26.2044","28.0416","South Africa","ZA","ZAF","Gauteng","admin","4434827","1710550792"
"Soweto","Soweto","-26.2678","27.8586","South Africa","ZA","ZAF","Gauteng","","1271628","1710627007"
"Vereeniging","Vereeniging","-26.6736","27.9319","South Africa","ZA","ZAF","Gauteng","","1074000","1710271883"
"Pretoria","Pretoria","-25.7464","28.1881","South Africa","ZA","ZAF","Gauteng","primary","741651","1710176249"
"Cape Town","Cape Town","-33.9250","18.4250","South Africa","ZA","ZAF","Western Cape","primary","433688","1710680650"
"Bloemfontein","Bloemfontein","-29.1000","26.2167","South Africa","ZA","ZAF","Free State","primary","256185","1710495933"
"Pietermaritzburg","Pietermaritzburg","-29.6009","30.3796","South Africa","ZA","ZAF","KwaZulu-Natal","admin","750845","1710690280"
"Durban","Durban","-29.8583","31.0250","South Africa","ZA","ZAF","KwaZulu-Natal","","595061","1710149138"
"Welkom","Welkom","-27.9831","26.7208","South Africa","ZA","ZAF","Free State","","431944","1710480365"
"East London","East London","-33.0153","27.9116","South Africa","ZA","ZAF","Eastern Cape","","338627","1710178149"
"Randburg","Randburg","-26.0936","28.0064","South Africa","ZA","ZAF","Gauteng","","337053","1710279034"
"Roodepoort","Roodepoort","-26.1625","27.8725","South Africa","ZA","ZAF","Gauteng","","326416","1710090212"
"Port Elizabeth","Port Elizabeth","-33.9581","25.6000","South Africa","ZA","ZAF","Eastern Cape","","312392","1710918997"
"Springs","Springs","-26.2547","28.4428","South Africa","ZA","ZAF","Gauteng","","236083","1710058382"
"Centurion","Centurion","-25.8603","28.1894","South Africa","ZA","ZAF","Gauteng","","236580","1710138774"
"Sandton","Sandton","-26.1070","28.0517","South Africa","ZA","ZAF","Gauteng","","222415","1710113163"
"Polokwane","Polokwane","-23.9000","29.4500","South Africa","ZA","ZAF","Limpopo","admin","220045","1710908010"
"Klerksdorp","Klerksdorp","-26.8667","26.6667","South Africa","ZA","ZAF","North West","","178921","1710416691"
"Rustenburg","Rustenburg","-25.6667","27.2336","South Africa","ZA","ZAF","North West","","165976","1710326039"
"Kimberley","Kimberley","-28.7386","24.7586","South Africa","ZA","ZAF","Northern Cape","admin","165264","1710282622"
"Bhisho","Bhisho","-32.8494","27.4381","South Africa","ZA","ZAF","Eastern Cape","admin","160997","1710672530"
"Benoni","Benoni","-26.1883","28.3206","South Africa","ZA","ZAF","Gauteng","","158777","1710880986"
"George","George","-33.9667","22.4500","South Africa","ZA","ZAF","Western Cape","","157394","1710164136"
