"Tórshavn","Torshavn","62.0000","-6.7833","Faroe Islands","FO","FRO","","primary","13326","1234904517"
"Klaksvík","Klaksvik","62.2375","-6.5390","Faroe Islands","FO","FRO","","admin","4664","1234149995"
"Hvalba","Hvalba","61.6000","-6.9556","Faroe Islands","FO","FRO","","admin","713","1234381324"
"Skopun","Skopun","61.9125","-6.8719","Faroe Islands","FO","FRO","","admin","446","1234929032"
"Hvannasund","Hvannasund","62.2833","-6.5167","Faroe Islands","FO","FRO","","admin","414","1234436400"
"Toftir","Toftir","62.0978","-6.7369","Faroe Islands","FO","FRO","","admin","","1234200740"
"Porkeri","Porkeri","61.4814","-6.7458","Faroe Islands","FO","FRO","","admin","297","1234757268"
"Saltangará","Saltangara","62.1156","-6.7206","Faroe Islands","FO","FRO","","admin","","1234473077"
"Strendur","Strendur","62.1096","-6.7617","Faroe Islands","FO","FRO","","admin","","1234814533"
"Tvøroyri","Tvoroyri","61.5544","-6.8063","Faroe Islands","FO","FRO","","admin","","1234871801"
"Fuglafjørður","Fuglafjordhur","62.2448","-6.8150","Faroe Islands","FO","FRO","","admin","","1234308038"
"Fámjin","Famjin","61.5264","-6.8769","Faroe Islands","FO","FRO","","admin","83","1234221310"
"Vágur","Vagur","61.4733","-6.8175","Faroe Islands","FO","FRO","","admin","","1234642477"
"Norðragøta","Nordhragota","62.1990","-6.7432","Faroe Islands","FO","FRO","","admin","","1234729250"
"Sørvágur","Sorvagur","62.0717","-7.3066","Faroe Islands","FO","FRO","","admin","","1234081530"
"Oyrarbakki","Oyrarbakki","62.2079","-6.9997","Faroe Islands","FO","FRO","","admin","","1234924029"
"Eiði","Eidhi","62.2995","-7.0924","Faroe Islands","FO","FRO","","admin","","1234150922"
"Vestmanna","Vestmanna","62.1548","-7.1690","Faroe Islands","FO","FRO","","admin","","1234694837"
"Kvívík","Kvivik","62.1186","-7.0737","Faroe Islands","FO","FRO","","admin","","1234955585"
"Sumba","Sumba","61.4055","-6.7090","Faroe Islands","FO","FRO","","admin","","1234926212"
"Sandavágur","Sandavagur","62.0537","-7.1498","Faroe Islands","FO","FRO","","admin","","1234210554"
"Hov","Hov","61.5068","-6.7599","Faroe Islands","FO","FRO","","admin","","1234279154"
"Viðareiði","Vidhareidhi","62.3600","-6.5313","Faroe Islands","FO","FRO","","admin","","1234512915"
"Sandur","Sandur","61.8344","-6.8171","Faroe Islands","FO","FRO","","admin","","1234438421"
"Húsavík","Husavik","61.8099","-6.6813","Faroe Islands","FO","FRO","","admin","","1234224518"
"Kunoy","Kunoy","62.2917","-6.6702","Faroe Islands","FO","FRO","","admin","","1234932703"
"Skálavík","Skalavik","61.8314","-6.6623","Faroe Islands","FO","FRO","","admin","","1234815917"
"Kirkja","Kirkja","62.3263","-6.3238","Faroe Islands","FO","FRO","","admin","","1234508245"
"Skúvoy","Skuvoy","61.7710","-6.8050","Faroe Islands","FO","FRO","","admin","","1234962897"
